지점,지점명,일시,평균기온(°C)
119,수원,2005-01,-2.5
119,수원,2005-02,-1.6
119,수원,2005-03,4.1
119,수원,2005-04,12.6
119,수원,2005-05,17.1
119,수원,2005-06,22.4
119,수원,2005-07,25.3
119,수원,2005-08,25.4
119,수원,2005-09,22.2
119,수원,2005-10,14.4
119,수원,2005-11,8.2
119,수원,2005-12,-3.9
119,수원,2006-01,-.4
119,수원,2006-02,-.1
119,수원,2006-03,5
119,수원,2006-04,11.3
119,수원,2006-05,18.2
119,수원,2006-06,21.7
119,수원,2006-07,23.6
119,수원,2006-08,27.5
119,수원,2006-09,21.3
119,수원,2006-10,17.6
119,수원,2006-11,8.4
119,수원,2006-12,1.2
