지점,지점명,일시,평균기온(°C)
119,수원,2015-01,-.5
119,수원,2015-02,1.3
119,수원,2015-03,6
119,수원,2015-04,13.1
119,수원,2015-05,18.2
119,수원,2015-06,23.1
119,수원,2015-07,25.5
119,수원,2015-08,26.2
119,수원,2015-09,22.1
119,수원,2015-10,15.3
119,수원,2015-11,9.5
119,수원,2015-12,2.4
119,수원,2016-01,-2.1
119,수원,2016-02,.9
119,수원,2016-03,7
119,수원,2016-04,13.9
119,수원,2016-05,19.1
119,수원,2016-06,23.2
119,수원,2016-07,26
119,수원,2016-08,27.7
119,수원,2016-09,22.7
119,수원,2016-10,15.7
119,수원,2016-11,7
119,수원,2016-12,1.7
