지점,지점명,일시,평균기온(°C)
119,수원,2017-01,-1.5
119,수원,2017-02,0
119,수원,2017-03,5.7
119,수원,2017-04,13.2
119,수원,2017-05,18.4
119,수원,2017-06,22.4
119,수원,2017-07,26.5
119,수원,2017-08,25.5
119,수원,2017-09,21.2
119,수원,2017-10,15.4
119,수원,2017-11,5.7
119,수원,2017-12,-1.4
119,수원,2018-01,-3.6
119,수원,2018-02,-1.6
119,수원,2018-03,7.9
119,수원,2018-04,12.6
119,수원,2018-05,17.9
119,수원,2018-06,22.6
119,수원,2018-07,27.5
119,수원,2018-08,28.4
119,수원,2018-09,21.1
119,수원,2018-10,12.6
119,수원,2018-11,7.7
119,수원,2018-12,-.3
