지점,지점명,일시,평균기온(°C)
119,수원,2001-01,-4
119,수원,2001-02,-.6
119,수원,2001-03,4.2
119,수원,2001-04,12.1
119,수원,2001-05,18.1
119,수원,2001-06,21.8
119,수원,2001-07,25.5
119,수원,2001-08,25.7
119,수원,2001-09,21.6
119,수원,2001-10,15.4
119,수원,2001-11,5.9
119,수원,2001-12,-1.1
119,수원,2002-01,-.4
119,수원,2002-02,.4
119,수원,2002-03,6.2
119,수원,2002-04,12.7
119,수원,2002-05,16.4
119,수원,2002-06,21
119,수원,2002-07,24.7
119,수원,2002-08,23.7
119,수원,2002-09,20.6
119,수원,2002-10,11.6
119,수원,2002-11,2.7
119,수원,2002-12,.4
