지점,지점명,일시,평균기온(°C)
119,수원,2013-01,-3.4
119,수원,2013-02,-1
119,수원,2013-03,4.8
119,수원,2013-04,9.7
119,수원,2013-05,17.6
119,수원,2013-06,23.5
119,수원,2013-07,25.5
119,수원,2013-08,27.4
119,수원,2013-09,21.7
119,수원,2013-10,15.7
119,수원,2013-11,6.2
119,수원,2013-12,0
119,수원,2014-01,-.6
119,수원,2014-02,2.1
119,수원,2014-03,7.6
119,수원,2014-04,13.3
119,수원,2014-05,18.2
119,수원,2014-06,22.9
119,수원,2014-07,25.6
119,수원,2014-08,24.7
119,수원,2014-09,21.8
119,수원,2014-10,15.2
119,수원,2014-11,8.5
119,수원,2014-12,-2
