지점,지점명,일시,평균기온(°C)
119,수원,2011-01,-7.2
119,수원,2011-02,.6
119,수원,2011-03,3.5
119,수원,2011-04,10.1
119,수원,2011-05,16.2
119,수원,2011-06,21.1
119,수원,2011-07,25.3
119,수원,2011-08,26.1
119,수원,2011-09,21.7
119,수원,2011-10,13.9
119,수원,2011-11,11.2
119,수원,2011-12,-.4
119,수원,2012-01,-2.7
119,수원,2012-02,-1.9
119,수원,2012-03,5.1
119,수원,2012-04,12.1
119,수원,2012-05,19.1
119,수원,2012-06,23.6
119,수원,2012-07,25.5
119,수원,2012-08,27.3
119,수원,2012-09,20.8
119,수원,2012-10,14.8
119,수원,2012-11,5.7
119,수원,2012-12,-3.9
