지점,지점명,일시,평균기온(°C)
119,수원,2023-01,-2.1
119,수원,2023-02,1.6
119,수원,2023-03,8.5
119,수원,2023-04,13
119,수원,2023-05,18.3
119,수원,2023-06,22.4
119,수원,2023-07,25.9
119,수원,2023-08,26.7
119,수원,2023-09,23.1
119,수원,2023-10,14.9
119,수원,2023-11,6.7
