지점,지점명,일시,평균기온(°C)
119,수원,2019-01,-1.1
119,수원,2019-02,.8
119,수원,2019-03,6.6
119,수원,2019-04,11.7
119,수원,2019-05,18.4
119,수원,2019-06,22.1
119,수원,2019-07,25.8
119,수원,2019-08,26.8
119,수원,2019-09,22.3
119,수원,2019-10,16
119,수원,2019-11,7.5
119,수원,2019-12,1.5
119,수원,2020-01,1.6
119,수원,2020-02,2.4
119,수원,2020-03,7.1
119,수원,2020-04,10.5
119,수원,2020-05,17.6
119,수원,2020-06,23
119,수원,2020-07,23.8
119,수원,2020-08,26.7
119,수원,2020-09,21.1
119,수원,2020-10,13.8
119,수원,2020-11,7.7
119,수원,2020-12,-.4
