지점,지점명,일시,평균기온(°C)
119,수원,2007-01,-.1
119,수원,2007-02,3.3
119,수원,2007-03,6
119,수원,2007-04,11.1
119,수원,2007-05,17.8
119,수원,2007-06,22.6
119,수원,2007-07,24
119,수원,2007-08,26.1
119,수원,2007-09,21.2
119,수원,2007-10,14.8
119,수원,2007-11,6.2
119,수원,2007-12,1.6
119,수원,2008-01,-1.6
119,수원,2008-02,-1.6
119,수원,2008-03,6.8
119,수원,2008-04,13.3
119,수원,2008-05,17.6
119,수원,2008-06,21.7
119,수원,2008-07,25.7
119,수원,2008-08,25.5
119,수원,2008-09,22.3
119,수원,2008-10,16
119,수원,2008-11,7.4
119,수원,2008-12,.9
