지점,지점명,일시,평균기온(°C)
119,수원,2009-01,-2.6
119,수원,2009-02,2.4
119,수원,2009-03,6.1
119,수원,2009-04,12
119,수원,2009-05,18.3
119,수원,2009-06,22.1
119,수원,2009-07,24.2
119,수원,2009-08,25.7
119,수원,2009-09,21.6
119,수원,2009-10,15.7
119,수원,2009-11,6.9
119,수원,2009-12,-.7
119,수원,2010-01,-4.4
119,수원,2010-02,1.4
119,수원,2010-03,4.6
119,수원,2010-04,9.6
119,수원,2010-05,17.1
119,수원,2010-06,23.1
119,수원,2010-07,26
119,수원,2010-08,26.9
119,수원,2010-09,22.2
119,수원,2010-10,14.4
119,수원,2010-11,6.4
119,수원,2010-12,-.8
